CSO

Stagione precedente : 272223.5€ Stagione corrente : 286062.75€
Mese	Anno precedente	Anno corrente
9	72664€	85540€
10	32327.5€	32605€
11	14473€	14072.5€
12	11845€	6830€
1	9532.5€	9695€
2	13024€	11426€
3	34351.85€	34498.25€
4	27504.4€	32606€
5	15930€	23277.5€
6	32311.25€	25017.5€
7	0€	300€
8	8260€	10195€


POLISPORTIVA

Stagione precedente : 91034.5€ Stagione corrente : 91560€
Mese	Anno precedente	Anno corrente
9	34900€	28855€
10	24842.5€	26615€
11	6610€	5550€
12	3500€	1565€
1	6434.5€	4970€
2	8047.5€	7350€
3	3945€	5415€
4	2235€	6485€
5	520€	380€
6	0€	3975€
7	0€	400€
8	0€	0€


